score,param_count,expr,prog_metric,train,norm_expr,norm_prog,norm_train,val_acc,prog_str
2.8084329195069597,1104769,8.657350182533264,-3.915221929550171,-0.3151492404467602,1.7314700365066529,0.10847780704498292,0.968485075955324,0.9995238184928894,"lib.compose(nn_fun_cs1_d0d1_np_nasr0_2, nn_fun_cs1_d0d1_np_nasr0_3)"
2.7815646032493984,1104769,8.611987471580505,-4.103971481323242,-0.3043574293437864,1.7223974943161011,0.08960285186767578,0.9695642570656213,0.996666669845581,"lib.compose(nn_fun_cs1_d0d1_np_nasr1_2, nn_fun_cs1_d0d1_np_nasr1_3)"
1.9848045990920642,1146070,17.55560039699776,-3.9899673461914062,-7.121623387431373,1.595963672454342,0.10100326538085938,0.2878376612568627,-0.322098763934366,"lib.compose(nn_fun_cs1_d0d1_np_nasc0_500, lib.map_l(lib.compose(nn_fun_cs1_d0d1_np_nasc0_501, nn_fun_cs1_d0d1_np_nasc0_502)))"
3.713224708170171,1215895,29.009726881980896,-3.935962677001953,-0.3042692249153346,2.6372478983618994,0.10640373229980468,0.9695730775084666,-0.6515249721779591,"lib.compose(nn_fun_cs1_d0d1_np_nasc0_509, lib.map_l(lib.compose(nn_fun_cs1_d0d1_np_nasc0_510, nn_fun_cs1_d0d1_np_nasc0_511)))"
2.0253745133246754,1146070,17.840621921764978,-3.9730682373046875,-6.9919338310530845,1.6218747201604524,0.10269317626953126,0.30080661689469157,-0.35590765130446017,"lib.compose(nn_fun_cs1_d0d1_np_nasc0_4224, lib.compose(lib.map_l(nn_fun_cs1_d0d1_np_nasc0_4225), lib.map_l(nn_fun_cs1_d0d1_np_nasc0_4226)))"
3.7412513127603164,1215895,29.32349395751953,-3.9403505325317383,-0.3048581194283036,2.665772177956321,0.10596494674682617,0.9695141880571696,-0.6671784170278452,"lib.compose(nn_fun_cs1_d0d1_np_nasc0_4233, lib.compose(lib.map_l(nn_fun_cs1_d0d1_np_nasc0_4234), lib.map_l(nn_fun_cs1_d0d1_np_nasc0_4235)))"
1.9711700454201857,1146070,17.196524797949678,-4.0059967041015625,-6.915507203469017,1.5633204361772435,0.09940032958984375,0.3084492796530983,-0.32362548138378966,"lib.compose(lib.compose(nn_fun_cs1_d0d1_np_nasc0_4404, lib.map_l(nn_fun_cs1_d0d1_np_nasc0_4405)), lib.map_l(nn_fun_cs1_d0d1_np_nasc0_4406))"
3.668632037462477,1215895,28.56957459449768,-3.9623868465423584,-0.3236333192853105,2.5972340540452437,0.10376131534576416,0.967636668071469,-0.6485629362553526,"lib.compose(lib.compose(nn_fun_cs1_d0d1_np_nasc0_4413, lib.map_l(nn_fun_cs1_d0d1_np_nasc0_4414)), lib.map_l(nn_fun_cs1_d0d1_np_nasc0_4415))"
2.0353274935611214,1146070,17.828840109334124,-4.016037940979004,-6.838723586440804,1.6208036463031021,0.0983962059020996,0.31612764135591953,-0.3445802005066505,"lib.compose(nn_fun_cs1_d0d1_np_nasc1_500, lib.map_l(lib.compose(nn_fun_cs1_d0d1_np_nasc1_501, nn_fun_cs1_d0d1_np_nasc1_502)))"
3.6020047087592637,1215895,27.850499033927917,-3.979374885559082,-0.319213512237292,2.5318635485389014,0.1020625114440918,0.9680786487762708,-0.622795843656755,"lib.compose(nn_fun_cs1_d0d1_np_nasc1_509, lib.map_l(lib.compose(nn_fun_cs1_d0d1_np_nasc1_510, nn_fun_cs1_d0d1_np_nasc1_511)))"
